path,extension,size_bytes,layer,kind,status,symbols,business_rules,evidence,notes
.github/workflows/compatibility.yml,.yml,1292,configuration,configuration,analyzed,name;on;permissions;concurrency;jobs,,.github/workflows/compatibility.yml,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
.github/workflows/dependency-review.yml,.yml,1143,configuration,configuration,analyzed,name;on;permissions;concurrency;jobs,,.github/workflows/dependency-review.yml,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
.github/workflows/docs.yml,.yml,1329,configuration,configuration,analyzed,name;on;permissions;concurrency;jobs,,.github/workflows/docs.yml,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
.github/workflows/nightly.yml,.yml,2214,configuration,configuration,analyzed,name;on;permissions;concurrency;jobs,,.github/workflows/nightly.yml,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
.github/workflows/platform.yml,.yml,1059,configuration,configuration,analyzed,name;on;permissions;concurrency;jobs,,.github/workflows/platform.yml,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
.github/workflows/release.yml,.yml,3481,configuration,configuration,analyzed,name;on;permissions;env;jobs,,.github/workflows/release.yml,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
.github/workflows/security.yml,.yml,1254,configuration,configuration,analyzed,name;on;permissions;concurrency;jobs,,.github/workflows/security.yml,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
.lychee.toml,.toml,159,configuration,configuration,analyzed,no_progress;max_retries;retry_wait_time;timeout;max_concurrency;accept;include_fragments;include_mail,,.lychee.toml,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
.superpowers/sdd/task-4-report.md,.md,3347,documentation,documentation,excluded-out-of-scope,,,.superpowers/sdd/task-4-report.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
CODE_OF_CONDUCT.md,.md,6151,documentation,documentation,analyzed,Contributor Covenant Code of Conduct;Our Pledge;Our Standards;Enforcement Responsibilities;Scope;Enforcement;Enforcement Guidelines;1. Correction;2. Warning;3. Temporary Ban;4. Permanent Ban;Attribution,,CODE_OF_CONDUCT.md,Current documentation reviewed against connected implementation where applicable.
COMPLETION_STATUS.md,.md,2467,documentation,documentation,analyzed,Kratos completion status;Issue coverage;Remaining implementation blocker;Validation and external acceptance;Experimental extensions completed in source,,COMPLETION_STATUS.md,Current documentation reviewed against connected implementation where applicable.
CONTRIBUTING.md,.md,6459,documentation,documentation,analyzed,Contributing to Kratos;Normative language;Before starting;Development workflow;Developer Certificate of Origin;How it is enforced;Intellectual-property provenance checklist;Pull requests;Where to ask for help,,CONTRIBUTING.md,Current documentation reviewed against connected implementation where applicable.
GOVERNANCE.md,.md,2893,documentation,documentation,analyzed,Governance;Roles;Decision process;Appointing and removing maintainers;Changing governance,,GOVERNANCE.md,Current documentation reviewed against connected implementation where applicable.
KRATOS_BACKLOG.md,.md,14860,documentation,documentation,analyzed,Kratos inherited backlog;Closed source issues — preserved baseline;Open source issues — Kratos delivery backlog;Kratos delivery and evidence ledger,,KRATOS_BACKLOG.md,Current documentation reviewed against connected implementation where applicable.
NOTICE.md,.md,462,documentation,documentation,analyzed,Notices,,NOTICE.md,Current documentation reviewed against connected implementation where applicable.
README.md,.md,10279,documentation,documentation,analyzed,Kratos;Why Kratos exists;Architecture in one minute;The development trail;Repository map;Getting started as a contributor;Project-owned state;Project maturity;Documentation;Contributing;License,,README.md,Current documentation reviewed against connected implementation where applicable.
ROADMAP.md,.md,7494,documentation,documentation,analyzed,Kratos Maturity Roadmap;Experimental;Promotion to Preview;Preview;Promotion to Beta;Beta;Promotion to Stable;Stable;Regression and rollback;Go predecessor retirement,,ROADMAP.md,Current documentation reviewed against connected implementation where applicable.
SECURITY.md,.md,3686,documentation,documentation,analyzed,Security Policy;Supported versions;Report a vulnerability;Response expectations;Safe research rules;Security scope examples,,SECURITY.md,Current documentation reviewed against connected implementation where applicable.
SUPPORT.md,.md,1658,documentation,documentation,analyzed,Support;Choose the correct path,,SUPPORT.md,Current documentation reviewed against connected implementation where applicable.
VALIDATION.md,.md,3128,documentation,documentation,analyzed,Kratos reconstruction validation;Passed;Environment-blocked checks,,VALIDATION.md,Current documentation reviewed against connected implementation where applicable.
compatibility/fixtures/differential/v1/corpus.json,.json,3977,source,configuration,analyzed,schemaVersion;oracleId;entries,,compatibility/fixtures/differential/v1/corpus.json,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
compatibility/fixtures/differential/v1/scenarios/live-help.json,.json,958,source,configuration,analyzed,schemaVersion;id;parityContractIds;workspace;invocation;capture;normalization;disclosure;expected,,compatibility/fixtures/differential/v1/scenarios/live-help.json,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
compatibility/fixtures/differential/v1/scenarios/live-version.json,.json,967,source,configuration,analyzed,schemaVersion;id;parityContractIds;workspace;invocation;capture;normalization;disclosure;expected,,compatibility/fixtures/differential/v1/scenarios/live-version.json,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
compatibility/fixtures/differential/v1/scenarios/self-test-equality.json,.json,1584,source,configuration,analyzed,schemaVersion;id;parityContractIds;workspace;invocation;capture;normalization;disclosure;expected,,compatibility/fixtures/differential/v1/scenarios/self-test-equality.json,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
compatibility/fixtures/differential/v1/scenarios/self-test-normalized-state.json,.json,3431,source,configuration,analyzed,schemaVersion;id;parityContractIds;workspace;invocation;capture;normalization;disclosure;expected,,compatibility/fixtures/differential/v1/scenarios/self-test-normalized-state.json,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
compatibility/inventory/go-v3-v0.6.5/discovery.json,.json,86690,source,configuration,analyzed,schema_version;algorithm_version;oracle_id;source;provenance_id;namespaces,,compatibility/inventory/go-v3-v0.6.5/discovery.json,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
compatibility/inventory/go-v3-v0.6.5/matrix.json,.json,586729,source,configuration,analyzed,schema_version;oracle_id;discovery_algorithm_version;rows,,compatibility/inventory/go-v3-v0.6.5/matrix.json,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
compatibility/oracles/go-v3/v0.6.5/manifest.json,.json,7288,source,configuration,analyzed,schema_version;oracle_id;version;source;distribution;surfaces;prd_anchors;command_outputs;release_binaries;plugin_projection;provenance;verification,,compatibility/oracles/go-v3/v0.6.5/manifest.json,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
distribution/claude-code/.claude-plugin/plugin.json,.json,330,source,configuration,analyzed,$schema;name;displayName;version;description;license;keywords,,distribution/claude-code/.claude-plugin/plugin.json,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
distribution/claude-code/agents/kratos-orchestrator.md,.md,350,documentation,documentation,analyzed,,,distribution/claude-code/agents/kratos-orchestrator.md,Current documentation reviewed against connected implementation where applicable.
distribution/claude-code/skills/kratos/SKILL.md,.md,1220,documentation,documentation,analyzed,Kratos for Claude Code,,distribution/claude-code/skills/kratos/SKILL.md,Current documentation reviewed against connected implementation where applicable.
distribution/codex/.codex-plugin/plugin.json,.json,844,source,configuration,analyzed,name;version;description;license;keywords;skills;interface,,distribution/codex/.codex-plugin/plugin.json,"Analyzed for architectural responsibility, dependencies, inputs, outputs, and effects."
distribution/codex/skills/kratos/SKILL.md,.md,874,documentation,documentation,analyzed,Kratos for Codex,,distribution/codex/skills/kratos/SKILL.md,Current documentation reviewed against connected implementation where applicable.
docs/INSTALLATION.md,.md,4440,documentation,documentation,analyzed,"Installing Kratos;Prerequisites;Build and verify;Run the temporary build;Install in Codex;Install in Claude Code;Direct atomic staging;Initialize a project;Update, rollback, and uninstall",,docs/INSTALLATION.md,Current documentation reviewed against connected implementation where applicable.
docs/PROVENANCE.md,.md,2384,documentation,documentation,analyzed,Kratos provenance and reconstruction policy;Source;Interpretation rules;Preserved architecture;Deliberate identity changes,,docs/PROVENANCE.md,Current documentation reviewed against connected implementation where applicable.
docs/adr/0001-event-sourced-project-history.md,.md,2451,documentation,documentation,analyzed,ADR 0001: Event-Sourced Project History;Context;Decision;Consequences;Alternatives rejected,,docs/adr/0001-event-sourced-project-history.md,Current documentation reviewed against connected implementation where applicable.
docs/adr/0002-embedded-esm-runtime.md,.md,2367,documentation,documentation,analyzed,ADR 0002: Embedded Self-Contained ESM Runtime;Context;Decision;Consequences;Alternatives rejected,,docs/adr/0002-embedded-esm-runtime.md,Current documentation reviewed against connected implementation where applicable.
docs/adr/0003-project-local-brain-state.md,.md,2499,documentation,documentation,analyzed,ADR 0003: Project-Local Brain State;Context;Decision;Consequences;Alternatives rejected,,docs/adr/0003-project-local-brain-state.md,Current documentation reviewed against connected implementation where applicable.
docs/adr/0004-host-adapter-boundary.md,.md,2256,documentation,documentation,analyzed,ADR 0004: Host-Neutral Core and Thin Adapters;Context;Decision;Consequences;Alternatives rejected,,docs/adr/0004-host-adapter-boundary.md,Current documentation reviewed against connected implementation where applicable.
docs/adr/README.md,.md,1284,documentation,documentation,analyzed,Architecture Decision Records;Accepted decisions;Lifecycle,,docs/adr/README.md,Current documentation reviewed against connected implementation where applicable.
docs/architecture/atomic-transactions.md,.md,12606,documentation,documentation,analyzed,Atomic Filesystem Transactions and Crash Recovery;Managed scope and layout;Five monotonic phases;Preparation and publication;Recovery identity and direction;Recoverable atomicity;Root bootstrap and synchronization;Stable failures;Path and cleanup safety;Protected mutations;Verification evidence,,docs/architecture/atomic-transactions.md,Current documentation reviewed against connected implementation where applicable.
docs/architecture/brain-migration.md,.md,3254,database,database-definition,analyzed,Legacy Brain Migration Planning;The layout it recognizes;The decision;What blocks a migration;What the plan promises;What this claims,,docs/architecture/brain-migration.md,Current documentation reviewed against connected implementation where applicable.
docs/architecture/command-routing.md,.md,6670,documentation,documentation,analyzed,Command Routing and Structured Output;Pipeline;Command registry;Retired phase commands;Global flags and aliases;Result and output rules;Safety and determinism;Compatibility,,docs/architecture/command-routing.md,Current documentation reviewed against connected implementation where applicable.
docs/architecture/concurrency-locks.md,.md,8550,documentation,documentation,analyzed,Concurrency Locks and Recoverable Work Leases;Scope;Owner identity;Time;Fencing tokens;Lifecycle trail;Guarded commits;Read-only operations;Results;Threat boundary,,docs/architecture/concurrency-locks.md,Current documentation reviewed against connected implementation where applicable.
docs/architecture/dry-run-plans.md,.md,6206,documentation,documentation,analyzed,"Dry-Run Plans and Decision Explanation;One code path, two exits;What a preview reports;Proving nothing was written;Applying what was previewed;Explanation;Result mapping;Why there is no flag yet",,docs/architecture/dry-run-plans.md,Current documentation reviewed against connected implementation where applicable.
docs/architecture/event-store.md,.md,7246,documentation,documentation,analyzed,Append-Only Event Store Integrity;Run ownership and layout;Canonical history;Replay and snapshot binding;Transaction and recovery relationship;Corruption and public results;Bounded metadata boundary,,docs/architecture/event-store.md,Current documentation reviewed against connected implementation where applicable.
docs/architecture/gates-approvals-evidence.md,.md,1357,documentation,documentation,analyzed,"Gates, approvals, and evidence",,docs/architecture/gates-approvals-evidence.md,Current documentation reviewed against connected implementation where applicable.
docs/architecture/git-service.md,.md,15306,documentation,documentation,analyzed,Git Service and Repository-State Classification;The observation model;Failure variants;Command sequence;Pinning rename and copy detection;Environment;Why `--ignored=matching`;The evidence boundary;Read-only guarantee;Path decoding and byte ordering;Platform consistency and its boundary,,docs/architecture/git-service.md,Current documentation reviewed against connected implementation where applicable.
docs/architecture/host-adapter-protocol.md,.md,6127,documentation,documentation,analyzed,The Host Adapter Protocol;What an adapter is;Describing a host;Contract negotiation;Capabilities;Payloads travel by reference;Relaying a decision;The conformance suite;Operation lifecycle messages,,docs/architecture/host-adapter-protocol.md,Current documentation reviewed against connected implementation where applicable.
docs/architecture/host-operation-messages.md,.md,1945,documentation,documentation,analyzed,Host operation messages;Envelope;Message families;Delivery ordering;Partial mutation rule,,docs/architecture/host-operation-messages.md,Current documentation reviewed against connected implementation where applicable.
docs/architecture/installation-boundary.md,.md,1546,documentation,documentation,analyzed,Installation boundary,,docs/architecture/installation-boundary.md,Current documentation reviewed against connected implementation where applicable.
docs/architecture/migration-observability.md,.md,1305,database,database-definition,analyzed,Migration and observability,,docs/architecture/migration-observability.md,Current documentation reviewed against connected implementation where applicable.
docs/architecture/objective-lifecycle.md,.md,5345,documentation,documentation,analyzed,The Objective and Its Lifecycle;What the command does;Feature identity;The rules;History belongs to its feature;Determinism;Budgets;Completion;Result mapping;What parity this claims,,docs/architecture/objective-lifecycle.md,Current documentation reviewed against connected implementation where applicable.
docs/architecture/post-1.0-extension-designs.md,.md,4473,documentation,documentation,analyzed,Post-1.0 extension boundary;Risk-adaptive profiles and policy packs;Independent dual judge;Optional Control Tower;Signed evidence and remote verification,,docs/architecture/post-1.0-extension-designs.md,Current documentation reviewed against connected implementation where applicable.
docs/architecture/project-discovery.md,.md,4488,documentation,documentation,analyzed,Project Discovery and Configuration Resolution;Root selection;State locations and migration;Configuration;Composition and compatibility,,docs/architecture/project-discovery.md,Current documentation reviewed against connected implementation where applicable.
docs/architecture/project-initialization.md,.md,8809,documentation,documentation,analyzed,Project Initialization;The generated surface;Idempotency is a consequence;Managed sections;Answers;Flags;Result;How the command is wired;What parity this claims,,docs/architecture/project-initialization.md,Current documentation reviewed against connected implementation where applicable.
docs/architecture/runtime-boundaries.md,.md,11603,documentation,documentation,analyzed,"Runtime Boundaries, Ports, and Composition;Layers;Why a test rather than a linter plugin;Ports;One contract suite per port;Path safety;Composition;Effect plans;Scope",,docs/architecture/runtime-boundaries.md,Current documentation reviewed against connected implementation where applicable.
docs/architecture/schema-registry.md,.md,10124,database,documentation,analyzed,Schema Registry and Validation Boundary;Closed contract catalog;Selection before validation;Stable diagnostics;Embedded and offline initialization;Input and output boundaries;Canonical JSON;Project discovery adapter;Scope and compatibility,,docs/architecture/schema-registry.md,Current documentation reviewed against connected implementation where applicable.
docs/architecture/system-architecture.md,.md,29722,documentation,documentation,analyzed,"Kratos system architecture;1. Analysis metadata;2. Executive summary;3. Scope and exclusions;4. Stack and repository organization;5. Context and actors;6. Containers and runtime;7. Domains and components;8. Frontend and views;9. Backend and APIs;10. Data and persistence;11. Integrations;12. Events and jobs;13. Security, authorization, and tenancy;14. Deployment and operation;15. Flow catalog",,docs/architecture/system-architecture.md,Current documentation reviewed against connected implementation where applicable.
docs/architecture/verification.md,.md,6121,documentation,documentation,analyzed,Architecture Verification Evidence;Preconditions;Successful trace;Negative trace;Architecture assertions;Reproducible documentation checks;Rendered document review,,docs/architecture/verification.md,Current documentation reviewed against connected implementation where applicable.
docs/architecture/workflow-state-machine.md,.md,1567,documentation,documentation,analyzed,Workflow state machine;Command flow,,docs/architecture/workflow-state-machine.md,Current documentation reviewed against connected implementation where applicable.
docs/compatibility/contract-versioning.md,.md,6643,documentation,documentation,analyzed,Contract Family Versioning;Authoritative artifacts;Compatibility windows;Stable failures;Current payload schemas;Generated declarations;Go v3 and PRD protection;Evolution rules,,docs/compatibility/contract-versioning.md,Current documentation reviewed against connected implementation where applicable.
docs/compatibility/differential-harness.md,.md,10459,documentation,documentation,analyzed,Go-to-TypeScript Differential Harness;Current result;Authorized live comparison;Exit contract;Isolation and capture;Normalization and disclosure;The golden observation is post-normalization;PRD preservation;Fixture contract,,docs/compatibility/differential-harness.md,Current documentation reviewed against connected implementation where applicable.
docs/compatibility/go-v3-v0.6.5-baseline.md,.md,8090,documentation,documentation,analyzed,Go v3 v0.6.5 Behavioral Oracle Baseline;Decision;Reproducible artifacts;Command-output capture;Captured behavior surfaces;PRD parity lock;Complete legacy verification;Authorized private verification;Intellectual-property provenance audit,,docs/compatibility/go-v3-v0.6.5-baseline.md,Current documentation reviewed against connected implementation where applicable.
docs/compatibility/parity-inventory.md,.md,8115,documentation,documentation,analyzed,Go v3 Parity Inventory and Traceability Matrix;Current result;What is accounted for;PRD is a P0 boundary;Discovery and matrix authority;Evidence lifecycle;Objective percentage;Contributor workflow;Authorized source cross-check;Publication boundary,,docs/compatibility/parity-inventory.md,Current documentation reviewed against connected implementation where applicable.
docs/compatibility/result-contract.md,.md,8910,documentation,documentation,analyzed,Universal Result Contract v1;Authoritative artifacts;Result fields;Exit and status policy;Reason catalog;Evidence references;Rendering;Canonical examples,,docs/compatibility/result-contract.md,Current documentation reviewed against connected implementation where applicable.
docs/compatibility/runtime-distribution.md,.md,4632,documentation,documentation,analyzed,Embedded runtime distribution contract;Build boundary;Host package layout;Why the boot is split;Plugin root and project root;Project materialization boundary;Integrity manifest;Version pinning and handshake;Verification,,docs/compatibility/runtime-distribution.md,Current documentation reviewed against connected implementation where applicable.
docs/contributing/verification.md,.md,7596,documentation,documentation,analyzed,Contribution Intake Verification;Test-first evidence;Pinned schema validation;Form and evidence inventory;Local verification;Independent review;GitHub platform discovery and rendering,,docs/contributing/verification.md,Current documentation reviewed against connected implementation where applicable.
docs/contributing/workflow.md,.md,8048,documentation,documentation,analyzed,Contribution Workflow and Work Taxonomy;Intake workflow;Label taxonomy;Type labels;Area labels;Priority and status labels;Milestones;Stable work IDs;Branch and release flow;Pull requests,,docs/contributing/workflow.md,Current documentation reviewed against connected implementation where applicable.
docs/development/toolchain.md,.md,9468,documentation,documentation,analyzed,Deterministic TypeScript Toolchain;Prerequisites;Clean-checkout verification;Commands;Pull-request CI;Workspace ownership;Frozen compatibility oracle;Runtime artifact;Recovery,,docs/development/toolchain.md,Current documentation reviewed against connected implementation where applicable.
docs/distribution/atomic-installation.md,.md,1623,documentation,documentation,analyzed,Atomic plugin installation,,docs/distribution/atomic-installation.md,Current documentation reviewed against connected implementation where applicable.
docs/distribution/release-gates.md,.md,1005,documentation,documentation,analyzed,Release gates,,docs/distribution/release-gates.md,Current documentation reviewed against connected implementation where applicable.
docs/examples/complete-trail.md,.md,1528,documentation,documentation,analyzed,Complete trail example,,docs/examples/complete-trail.md,Current documentation reviewed against connected implementation where applicable.
docs/governance/repository-flow.md,.md,965,documentation,documentation,analyzed,Repository integration and release flow,,docs/governance/repository-flow.md,Current documentation reviewed against connected implementation where applicable.
docs/governance/verification.md,.md,3628,documentation,documentation,analyzed,Governance and Community-Path Verification;Contribution path dry run;Vulnerability path dry run;Repository verification;Post-merge closure evidence,,docs/governance/verification.md,Current documentation reviewed against connected implementation where applicable.
docs/pilots/go-no-go-template.md,.md,576,documentation,documentation,analyzed,Public beta go/no-go decision,,docs/pilots/go-no-go-template.md,Current documentation reviewed against connected implementation where applicable.
docs/pilots/public-beta.md,.md,1719,documentation,documentation,analyzed,Public beta pilot protocol;Selection matrix;Rollout;Hard graduation criteria;Evidence and privacy,,docs/pilots/public-beta.md,Current documentation reviewed against connected implementation where applicable.
docs/roadmap/verification.md,.md,4169,documentation,documentation,analyzed,README and Maturity Roadmap Verification;Command honesty;Documentation checks;Independent review;Post-merge closure,,docs/roadmap/verification.md,Current documentation reviewed against connected implementation where applicable.
docs/security/dependency-policy.md,.md,9409,documentation,documentation,analyzed,Dependency Policy;Two dependency sets;License policy;Compliance means the package states what it carries;Where the license policy is enforced;Vulnerability policy;Ownership and remediation;Updates;Release evidence and remaining external controls,,docs/security/dependency-policy.md,Current documentation reviewed against connected implementation where applicable.
docs/security/threat-model.md,.md,12583,documentation,documentation,analyzed,Threat Model;What this runtime touches;Path traversal;Symlinks;Command injection;Malicious Git names and configuration;Schema bombs;Event tampering;Terminal injection;Secrets and sensitive paths;Untrusted contributions;Package substitution;What this document is not,,docs/security/threat-model.md,Current documentation reviewed against connected implementation where applicable.
docs/superpowers/plans/2026-08-06-contribution-intake.md,.md,10118,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-06-contribution-intake.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
docs/superpowers/plans/2026-08-06-honest-readme-roadmap.md,.md,8923,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-06-honest-readme-roadmap.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
docs/superpowers/plans/2026-08-06-open-source-governance.md,.md,11642,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-06-open-source-governance.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
docs/superpowers/plans/2026-08-06-typescript-toolchain.md,.md,16350,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-06-typescript-toolchain.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
docs/superpowers/plans/2026-08-06-yoda-observable-architecture.md,.md,18282,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-06-yoda-observable-architecture.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
docs/superpowers/plans/2026-08-07-command-routing.md,.md,80166,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-07-command-routing.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
docs/superpowers/plans/2026-08-07-contract-family-versioning.md,.md,23944,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-07-contract-family-versioning.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
docs/superpowers/plans/2026-08-07-differential-harness.md,.md,19647,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-07-differential-harness.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
docs/superpowers/plans/2026-08-07-go-v3-oracle-baseline.md,.md,8256,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-07-go-v3-oracle-baseline.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
docs/superpowers/plans/2026-08-07-parity-inventory.md,.md,16898,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-07-parity-inventory.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
docs/superpowers/plans/2026-08-07-project-discovery.md,.md,15710,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-07-project-discovery.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
docs/superpowers/plans/2026-08-07-pull-request-ci.md,.md,8900,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-07-pull-request-ci.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
docs/superpowers/plans/2026-08-07-runtime-boundaries.md,.md,18198,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-07-runtime-boundaries.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
docs/superpowers/plans/2026-08-07-runtime-distribution.md,.md,27281,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-07-runtime-distribution.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
docs/superpowers/plans/2026-08-07-schema-registry.md,.md,34021,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-07-schema-registry.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
docs/superpowers/plans/2026-08-07-universal-result-contract.md,.md,16249,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-07-universal-result-contract.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
docs/superpowers/plans/2026-08-08-schema-registry-remediation.md,.md,19736,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-08-schema-registry-remediation.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
docs/superpowers/plans/2026-08-09-atomic-filesystem-transactions.md,.md,39779,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-09-atomic-filesystem-transactions.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
docs/superpowers/plans/2026-08-10-append-only-event-store.md,.md,36736,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-10-append-only-event-store.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
docs/superpowers/plans/2026-08-11-concurrency-locks-recoverable-leases.md,.md,43119,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-11-concurrency-locks-recoverable-leases.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
docs/superpowers/plans/2026-08-12-git-service.md,.md,80167,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-12-git-service.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
docs/superpowers/plans/2026-08-13-dry-run-plans-and-explanation.md,.md,8977,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-13-dry-run-plans-and-explanation.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
docs/superpowers/plans/2026-08-13-project-initialization.md,.md,8097,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-13-project-initialization.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
docs/superpowers/plans/2026-08-14-managed-transaction-surface.md,.md,4884,documentation,documentation,excluded-out-of-scope,,,docs/superpowers/plans/2026-08-14-managed-transaction-surface.md,Historical plan/specification or local task-state; current implementation and accepted documents are authoritative.
